DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,1999-12,100.47,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-01,97.26,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-02,97.82,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-03,99.83,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-04,100.33,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-05,100.45,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-06,100.29,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-07,96.91,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-08,98.09,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-09,100.32,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-10,100.93,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-11,101.31,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2000-12,101.12,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-01,96.59,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-02,95.71,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-03,99.53,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-04,100.89,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-05,101.26,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-06,101.10,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-07,96.67,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-08,97.07,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-09,100.37,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-10,101.99,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-11,102.73,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2001-12,102.56,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-01,97.90,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-02,97.10,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-03,100.56,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-04,102.17,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-05,102.49,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-06,102.16,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-07,97.43,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-08,97.44,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-09,101.14,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-10,102.91,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-11,103.76,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2002-12,103.24,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-01,97.47,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-02,97.17,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-03,101.08,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-04,102.85,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-05,103.20,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-06,102.57,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-07,97.54,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-08,97.49,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-09,101.50,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-10,103.34,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-11,104.09,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2003-12,103.57,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-01,97.00,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-02,97.08,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-03,100.80,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-04,102.86,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-05,103.29,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-06,102.59,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-07,97.07,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-08,97.39,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-09,101.16,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-10,103.26,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-11,103.86,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2004-12,103.17,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-01,96.58,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-02,95.92,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-03,99.99,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-04,102.27,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-05,102.52,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-06,101.94,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-07,95.91,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-08,96.22,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-09,100.27,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-10,102.61,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-11,103.17,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2005-12,102.59,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2006-01,95.24,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2006-02,94.71,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2006-03,99.54,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2006-04,101.89,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2006-05,102.22,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP03,EU28,2006-06,101.59,
